Season,Weight,Bracket,Round,Winner,Loser,Score,Decision Type
1933,175,1,2,9151,9946,TA 8:07,1
1933,175,1,3,8959,8944,TA 2:00,1
1933,175,1,3,9151,9947,Fall 3:38,2
1933,175,1,3,9942,9943,TA 1:44,1
1933,175,1,3,9949,9948,TA 4:40,1
1933,175,1,4,8959,9942,TA 5:06,1
1933,175,1,4,9151,9949,TA 1:15,1
1933,175,1,5,8959,9151,Fall 5:47,2
1933,UNL,0,10,8945,9952,Dec,1
1933,UNL,0,11,8945,9950,Dec,1
1933,UNL,0,15,8935,8945,Dec,1
1933,UNL,1,2,9251,9952,Dec,1
1933,UNL,1,2,9954,10403,Dec,1
1933,UNL,1,3,8935,9954,Dec,1
1933,UNL,1,3,9251,8945,Fall 6:15,2
1933,UNL,1,3,9950,9951,Fall 4:58,2
1933,UNL,1,3,9955,9956,Fall 6:20,2
1933,UNL,1,4,8935,9955,DFT,3
1933,UNL,1,4,9251,9950,TA 6:20,1
1933,UNL,1,5,9251,8935,TA 7:28,1
1934,118,0,11,9087,10077,Dec,1
1934,118,0,15,9087,8924,Dec,1
1934,118,1,3,8924,10078,Fall 8:11,2
1934,118,1,3,9181,10077,Fall 9:13,2
1934,118,1,3,9247,8997,Dec,1
1934,118,1,4,8924,9247,Dec,1
1934,118,1,4,9181,9087,Fall 2:10,2
1934,118,1,5,9181,8924,Dec,1
1934,126,0,11,8926,10079,Dec,1
1934,126,0,15,8926,9248,Dec,1
1934,126,1,2,8926,9970,Fall 4:10,2
1934,126,1,3,8926,9907,Fall 9:58,2
1934,126,1,3,9153,10079,Fall 7:57,2
1934,126,1,3,9248,10080,Dec,1
1934,126,1,3,10086,10087,Fall 14:30,2
1934,126,1,4,9153,8926,Dec,1
1934,126,1,4,9248,10086,Dec,1
1934,126,1,5,9153,9248,Fall 6:55,2
1934,135,0,10,9252,10407,Dec,1
1934,135,0,11,9252,9958,Dec,1
1934,135,0,15,9252,8928,Med FFT,3
1934,135,1,2,8928,10408,Dec,1
1934,135,1,2,9124,10407,Fall 4:25,2
1934,135,1,3,8928,10406,Dec OT,1
1934,135,1,3,9124,9252,Dec,1
1934,135,1,3,9958,9197,Fall 2:52,2
1934,135,1,3,10404,9918,Dec,1
1934,135,1,4,8928,10404,Dec,1
1934,135,1,4,9124,9958,Dec,1
1934,135,1,5,9124,8928,DFT,3
1934,145,0,10,9262,10410,,1
1934,145,0,11,9262,9984,,1
1934,145,1,2,8846,10412,Dec,1
1934,145,1,2,8879,9032,Dec,1
1934,145,1,2,9016,10410,Dec,1
1934,145,1,2,9262,10409,Dec,1
1934,145,1,2,10411,10413,,1
1934,145,1,3,9016,9262,Dec,1
1934,145,1,3,9162,9997,Fall 7:04,2
1934,145,1,3,9984,8879,Fall 8:18,2
1934,145,1,3,10411,8846,Dec OT,1
1934,145,1,4,9016,9984,Dec,1
1934,145,1,4,9162,10411,Fall 8:10,2
1934,145,1,5,9162,9016,Dec,1
1934,155,0,11,9166,10082,Dec,1
1934,155,0,15,9166,9249,Med FFT,3
1934,155,1,2,9249,10081,Dec,1
1934,155,1,3,8989,10082,Fall 4:42,2
1934,155,1,3,9166,10084,Fall 4:00,2
1934,155,1,3,9249,10085,Dec,1
1934,155,1,3,10083,10065,Dec,1
1934,155,1,4,8989,9166,Dec,1
1934,155,1,4,9249,10083,,1
1934,155,1,5,8989,9249,Fall 5:20,2
1934,165,0,11,8863,10394,,1
1934,165,1,3,8863,9930,Dec,1
