Season,Weight,Wrestler Number,Bracket Position,Consolation Position,Seed,Place
1937,145,9156,9,,,1
1937,145,10161,11,,,
1937,145,10152,13,,,
1937,145,9887,15,,,
1937,145,8905,17,,,2
1937,145,10062,19,,,
1937,145,10153,21,,,
1937,145,10162,23,,,
1937,145,9113,25,,,3
1937,145,10147,29,,,
1937,155,9188,1,,,3
1937,155,10034,5,,,
1937,155,9119,9,,,1
1937,155,10068,11,,,
1937,155,9242,13,,,
1937,155,8978,17,,,2
1937,155,10163,19,,,
1937,155,10174,21,,,
1937,155,8990,25,,,
1937,155,10149,29,,,
1937,165,8957,1,,,3
1937,165,10172,5,,,
1937,165,9141,9,,,1
1937,165,10023,17,,,
1937,165,9136,21,,,2
1937,165,9007,25,,,
1937,165,10173,29,,,
1937,175,8943,1,,,
1937,175,10169,5,,,
1937,175,9051,9,,,1
1937,175,10170,13,,,
1937,175,8899,17,,,2
1937,175,9168,21,,,3
1937,175,9850,25,,,
1937,UNL,9044,1,,,3
1937,UNL,9897,5,,,
1937,UNL,10150,9,,,
1937,UNL,10164,11,,,
1937,UNL,10165,13,,,
1937,UNL,10166,15,,,
1937,UNL,9185,17,,,1
1937,UNL,8984,19,,,
1937,UNL,10167,21,,,
1937,UNL,9896,23,,,
1937,UNL,8933,25,,,2
1937,UNL,10168,29,,,
1938,118,9171,1,,,1
1938,118,9764,5,,,
1938,118,9864,7,,,
1938,118,9045,9,,,
1938,118,9865,11,,,
1938,118,9866,13,,,
1938,118,9817,15,,,
1938,118,9088,17,,,3
1938,118,9820,19,,,
1938,118,9867,21,,,
1938,118,9868,23,,,
1938,118,8929,25,,,2
1938,118,9869,29,,,
1938,126,8910,1,,,1
1938,126,9870,5,,,
1938,126,8869,9,,,2
1938,126,9814,11,,,
1938,126,9186,13,,,
1938,126,9871,15,,,
1938,126,9872,17,,,
1938,126,9873,19,,,
1938,126,9874,21,,,
1938,126,9875,23,,,
1938,126,9134,25,,,3
1938,126,9825,29,,,
1938,135,9179,1,,,3
1938,135,9025,3,,,
1938,135,9876,5,,,
1938,135,8995,7,,,
1938,135,8861,9,,,
1938,135,9877,13,,,
1938,135,9878,15,,,
1938,135,9125,17,,,1
1938,135,9838,21,,,
1938,135,8894,25,,,2
1938,135,9881,27,,,
1938,135,9982,29,,,
1938,135,9880,31,,,
1938,145,9156,1,,,1
1938,145,10728,5,,,
1938,145,9837,9,,,
1938,145,9885,11,,,
1938,145,9882,13,,,
1938,145,8850,17,,,2
1938,145,9883,21,,,
1938,145,9884,23,,,
1938,145,10152,25,,,3
1938,145,9886,29,,,
1938,155,9188,1,,,1
1938,155,8964,5,,,3
1938,155,9887,9,,,
1938,155,9242,17,,,2
1938,155,9845,21,,,
1938,155,9888,25,,,
1938,165,8899,1,,,1
1938,165,9890,5,,,
1938,165,8842,9,,,3
1938,165,9889,13,,,
1938,165,8992,17,,,2
1938,165,9844,21,,,
1938,165,9891,25,,,
1938,165,9141,29,,,
1938,175,8881,1,,,1
1938,175,9809,3,,,
1938,175,9843,5,,,
1938,175,9893,7,,,
1938,175,9136,9,,,
1938,175,9850,13,,,
1938,175,9892,15,,,
1938,175,9246,17,,,2
1938,175,9895,19,,,
1938,175,9017,21,,,
1938,175,8943,25,,,3
1938,175,9854,27,,,
1938,175,9894,29,,,
1938,175,9203,31,,,
1938,UNL,9243,1,,,3
1938,UNL,9279,5,,,
1938,UNL,9898,9,,,
1938,UNL,9145,13,,,
1938,UNL,9896,15,,,
1938,UNL,8937,17,,,1
1938,UNL,9897,19,,,
1938,UNL,9899,21,,,
1938,UNL,9044,25,,,2
1938,UNL,9900,29,,,
1939,121,9814,1,,,
1939,121,9078,5,,,
1939,121,9815,9,,,
1939,121,9816,13,,,
1939,121,9171,15,,,1
1939,121,8877,17,,,2
1939,121,8835,19,,,3
1939,121,9817,21,,,
1939,121,9818,25,,,
1939,121,9819,29,,,
1939,128,9755,1,,,
1939,128,9025,5,,,
1939,128,8921,7,,,
1939,128,9658,9,,,
1939,128,9045,11,,,1
1939,128,9769,13,,,
1939,128,9820,15,,,
1939,128,9186,17,,,2
1939,128,9676,19,,,
1939,128,9821,21,,,
1939,128,9822,23,,,
1939,128,9823,25,,,
1939,128,8908,27,,,3
1939,128,9825,29,,,
1939,136,9828,1,,,
1939,136,9829,5,,,
1939,136,9042,7,,,3
1939,136,9863,9,,,
1939,136,9830,11,,,
1939,136,9831,13,,,
1939,136,9832,15,,,
1939,136,8894,17,,,1
1939,136,9077,19,,,
1939,136,9833,21,,,
1939,136,9824,23,,,
1939,136,9834,25,,,
1939,136,8941,27,,,2
1939,136,9778,29,,,
1939,145,9219,1,,,2
1939,145,9018,5,,,1
1939,145,9835,9,,,
1939,145,9836,13,,,
1939,145,8995,15,,,
1939,145,9837,17,,,
1939,145,9788,19,,,
1939,145,9838,21,,,
1939,145,9167,25,,,3
1939,145,9839,29,,,
1939,155,9789,1,,,
1939,155,9005,5,,,2
1939,155,9840,9,,,
1939,155,9841,13,,,
1939,155,9156,15,,,1
1939,155,8993,17,,,3
1939,155,8852,21,,,
1939,155,9722,25,,,
1939,155,9256,29,,,
1939,165,9178,1,,,2
1939,165,9796,3,,,
1939,165,9842,5,,,
1939,165,8996,7,,,1
1939,165,9843,9,,,
1939,165,9844,11,,,
1939,165,9725,13,,,
1939,165,8938,15,,,
1939,165,9845,17,,,
1939,165,9846,19,,,
1939,165,9711,21,,,
1939,165,9847,23,,,
1939,165,9848,25,,,
1939,165,9849,27,,,
1939,165,9207,29,,,3
1939,175,9791,1,,,
1939,175,9850,5,,,
1939,175,9851,7,,,
1939,175,9852,9,,,
1939,175,9203,11,,,3
1939,175,9853,13,,,
1939,175,8842,15,,,2
1939,175,9731,17,,,
1939,175,9854,19,,,
1939,175,9743,21,,,
1939,175,9855,23,,,
1939,175,9017,25,,,
1939,175,8943,29,,,1
1939,UNL,9856,1,,,
1939,UNL,8984,5,,,3
1939,UNL,9155,7,,,1
1939,UNL,9857,9,,,
1939,UNL,9279,11,,,
1939,UNL,9100,13,,,
1939,UNL,9858,15,,,
1939,UNL,9812,17,,,
1939,UNL,9859,19,,,
1939,UNL,9860,21,,,
1939,UNL,9861,23,,,
1939,UNL,9862,25,,,
1939,UNL,9805,27,,,
1939,UNL,8914,29,,,2
1940,121,8877,1,,1,
1940,121,9756,3,,,
1940,121,9762,5,,,
1940,121,9761,7,,,
1940,121,9657,9,,,
1940,121,9078,11,,,3
1940,121,9813,13,,,
1940,121,9758,15,,,
1940,121,9652,16,,,
1940,121,8921,17,,2,1
1940,121,9757,19,,,
1940,121,9760,21,,,
1940,121,8835,23,,,
1940,121,9175,25,,3,2
1940,121,9765,27,,,
1940,121,9763,29,,,
1940,121,9764,31,,,
1940,128,9045,1,,1,2
1940,128,9658,3,,,
1940,128,9766,5,,,
1940,128,9755,7,,,
1940,128,9164,9,,,3
1940,128,9656,11,,,
1940,128,9676,13,,,
1940,128,9759,15,,,
1940,128,9111,17,,2,1
1940,128,9675,19,,,
1940,128,9770,21,,,
1940,128,9666,23,,,
1940,128,9768,25,,3,
1940,128,9769,27,,,
1940,128,9660,29,,,
1940,128,9767,31,,,
1940,136,9202,1,,1,1
1940,136,9771,3,,,
1940,136,9077,5,,,2
1940,136,9774,7,,,
1940,136,9775,9,,,
1940,136,8908,11,,,
1940,136,9772,13,,,
1940,136,9773,15,,,
1940,136,8941,17,,2,3
1940,136,9673,19,,,
1940,136,9776,21,,,
1940,136,9777,23,,,
1940,136,9779,25,,3,
1940,136,9780,27,,,
1940,136,9210,29,,,
1940,136,9778,31,,,
1940,145,9005,1,,1,2
1940,145,9063,5,,,
1940,145,8880,9,,,3
1940,145,9782,11,,,
1940,145,9710,13,,,
1940,145,9781,15,,,
1940,145,8995,17,,2,1
1940,145,9783,19,,,
1940,145,9784,21,,,
1940,145,9785,23,,,
1940,145,9788,25,,3,
1940,145,9706,29,,,
1940,155,9167,1,,1,1
1940,155,8957,9,,,2
1940,155,9787,13,,,
1940,155,9007,17,,2,3
1940,155,9256,21,,,
1940,155,8912,25,,3,
1940,155,9789,29,,,
1940,165,8938,1,,1,3
